TRKJ2-1-5-001,正しい、ふさわしい,right,,ráit,the right thing,正しいこと
TRKJ2-1-5-041,成長する,grow,,gróu,,
TRKJ2-1-5-042,消える,disappear,,dìsəpíər,,
TRKJ2-1-5-043,自信,confidence,,［US］ kɑ́nfidəns ｜ ［UK］ kɔ́nfidəns,have[loose] confidence,自信を持つ（なくす）
TRKJ2-1-5-044,合格する,pass,,pǽs,,
TRKJ2-1-5-045,賢い,smart,,［US］ smɑ́rt ｜ ［UK］ smɑ́ːt,,
TRKJ2-1-5-046,技術,skill,,skíl,listening skill,リスニング力
TRKJ2-1-5-047,覆す,reverse,,［US］ rivə́rs ｜ ［UK］ rivə́ːs,reverse decision,決定を覆す
TRKJ2-1-5-048,違う,different,,dífərənt,,
TRKJ2-1-5-050,…を脱ぐ,take off,n,n,take off my coat,コートを脱ぐ
TRKJ2-1-5-051,…をかける（例　コートをかける）,hang up,,hǽŋ,hang up a coat,コートをかける
TRKJ2-1-5-053,ちょうど間に合って,just in time,n,n,,
TRKJ2-1-5-054,座る,sit down,n,n,,
TRKJ2-1-5-055,答える,reply,,riplái,reply to his letter,手紙に返事を出す
TRKJ2-1-5-056,驚いた,surprised,,sərpráizd,get surprised,驚く
TRKJ2-1-5-057,うんざりした,tired,,táiərd,I'm tired of this life,こんな人生はうんざりだ
TRKJ2-1-5-058,心,mind,,máind,I'm on my mind,気になっています。
TRKJ2-1-5-059,説明する,explain,,ikspléin,,
TRKJ2-1-5-060,日課,routine,,ruːtíːn,do the routine,日課をこなす
TRKJ2-1-5-061,…になる,turn,,［US］ tə́rn ｜ ［UK］ tə́ːn,turn red,真っ赤になる
TRKJ2-1-5-062,呼吸する,breathe,,bríːð,breath in the fresh air,新鮮な空気を吸い込む
TRKJ2-1-5-063,離婚する,divorce,,［US］ divɔ́rs ｜ ［UK］ divɔ́ːs,divorce someone,（人）と離婚する
TRKJ2-1-5-064,背中,back,,bǽk,,
TRKJ2-1-5-065,肩,shoulder,,n,,
TRKJ2-1-5-066,柵,fence,,fεns,,
TRKJ2-1-5-067,賞,prize,,práiz,win a prize,賞をとる
TRKJ2-1-5-068,石けん,soup,,n,a bar of soup,石鹸1個
TRKJ2-1-5-069,想像する,imagine,,imǽdʒin,,
TRKJ2-1-5-070,性質,property,,［US］ prɑ́pərti ｜ ［UK］ prɔ́pəti,have a special property,特別な性質がある
TRKJ2-1-5-071,混ぜる,mix,,miks,mix oil and water,水と油を混ぜる
TRKJ2-1-5-072,…にくっつく,attach to…,,ətǽtʃ,I attached my name tag to my bag,名札をバッグにつけた
TRKJ2-1-5-073,物質,substance,,sʌ́bstəns,an oily substance,油性の物質
TRKJ2-1-5-074,すすぐ、洗い落とす,rinse,,ríns,rinse my hand,手を洗う
TRKJ2-1-5-075,殺す,kill,,kíl,,
TRKJ2-1-5-076,燃やす,burn,,［US］ bə́rn ｜ ［UK］ bə́ːn,burn fat,脂肪を燃やす
TRKJ2-1-5-077,灰,ash,,ǽʃ,cigarette ash,たばこの灰
TRKJ2-1-5-078,創造する,create,,kriéit,creates a work of art,芸術作品を創造する
